Location,Plot, TreeSizes
Shinnecock,2,21.5
Shinnecock,2,14.9
Shinnecock,2,19.5
Shinnecock,2,21.7
Shinnecock,2,18.7
Shinnecock,1,6.8
Shinnecock,1,6.8
Shinnecock,1,8.3
Shinnecock,1,21.2
Shinnecock,1,14.1
Shinnecock,1,21.9
Shinnecock,1,8.5
Shinnecock,1,9.3
Shinnecock,1,10.9
Shinnecock,1,9.8
Shinnecock,1,29.1
Shinnecock,1,6.6
Shinnecock,1,13.7
Shinnecock,1,15.1
Shinnecock,1,19.1
Shinnecock,1,8.7
Seatuck,1,29.0
Seatuck,1,23.3
Seatuck,1,11.8
Seatuck,1,26.7
Seatuck,1,33.6
Seatuck,1,27.3
Seatuck,1,22.6
Seatuck,1,7.1
Seatuck,1,26.0
Seatuck,1,26.1
Seatuck,1,13.7
Seatuck,1,27.3
Seatuck,1,7.4
Seatuck,1,11.9
Seatuck,1,31.7
Seatuck,1,21.0
Seatuck,1,14.0
Seatuck,1,7.1
Seatuck,1,5.2
Seatuck,1,5.9
Seatuck,2,13.3
Seatuck,2,10.0
Seatuck,2,9.8
Seatuck,2,8.5
Seatuck,2,16.0
Seatuck,2,21.2
Seatuck,2,28.2
Seatuck,2,30.8
Seatuck,2,24.2
Seatuck,2,17.4
Seatuck,2,27.4
Seatuck,2,28.7
Seatuck,2,25.0
Seatuck,2,27.5
Seatuck,2,18.5
Seatuck,2,17.7
Seatuck,2,20.8
Seatuck,2,19.0
Seatuck,2,21.3
Seatuck,2,29.4
Seatuck,2,37.6
Seatuck,2,49.6
Seatuck,2,17.0
Seatuck,3,50.2
Seatuck,3,33.4
Seatuck,3,53.3
Seatuck,3,31.0
Seatuck,3,18.0
Seatuck,3,28.7
Wertheim,1,15.0
Wertheim,1,11.1
Wertheim,1,11.6
Wertheim,1,7.2
Wertheim,1,18.3
Wertheim,1,9.4
Wertheim,1,13.6
Wertheim,1,20.1
Wertheim,2,51.8
Wertheim,2,50.0
Wertheim,2,12.1
Wertheim,2,20.0
Wertheim,2,31.6
Wertheim,2,15.4
Wertheim,2,21.6
Wertheim,2,2.4
Wertheim,2,2.7
Wertheim,2,7.7
Wertheim,2,20.1
Wertheim,2,8.4
Wertheim,3,24.3
Wertheim,3,24.9
Wertheim,3,24.5
Wertheim,3,38.9
Wertheim,3,22.0
Wertheim,3,41.4
Wertheim,3,28.9
Wertheim,3,34.9
Wertheim,3,18.9
